author
C. Kim and S. H. Baek and K. H. Park
G. Koo and K. K. Matam and T. I. and H. V. K. G. Narra and J. Li and H. Tseng and S. Swanson and M. Annavaram
K. Tang and P. Huang and X. He and T. Lu and S. S. Vazhkudai and D. Tiwari
Lu. Zheng-Wu and Wang. Yu-De and Jiang. Guo-Song
S. Im and D. Shin
J. Wan and N. Zhao and Y. Zhu and J. Wang and Y. Mao and P. Chen and C. Xie
X. Ruan and Shu Yin and A. Manzanares and Jiong Xie and Zhiyang Ding and J. Majors and X. Qin
G. Yadgar and M. Factor and A. Schuster
M. Dorier and G. Antoniu and F. Cappello and M. Snir and L. Orf
H. H. W. Chan and Y. Li and P. P. C. Lee and Y. Xu
Liu. J. and Byna. S. and Dong. B. and Wu. K. and Chen. Y.
A. A. McEwan and M. Z. Komsul
Lee. S. and Hyun. S. and Koh. K. and Bahn. H.
S. Lee and K. Koh and H. Bahn
J. Shen and K. Zhang and J. Gu and Y. Zhou and X. Wang
H. Gao and C. Wu and J. Li and M. Guo
J. Yang and Q. Yang
S. Zeng and L. Zhu and L. Zhang
J. Liao and X. Liu and Y. Chen
J. Tai and B. Sheng and Y. Yao and N. Mi
Y. Pan and G. Dong and Q. Wu and T. Zhang
Eslami. Hassan and Kougkas. Anthony and Kotsifakou. Maria and Kasampalis. Theodoros and Feng. Kun and Lu. Yin and Gropp. William and Sun. Xian-He and Chen. Yong and Thakur. Rajeev
J. Yu and G. Liu and W. Dong and X. Li
W. Xumin and Y. Baoqun and Z. Guorong and Z. Haipeng
C. Wu and G. Zhang and Y. Wang and X. Jiang and W. Zheng
Tomes. E. and Rush. E.N. and Altiparmak. N.
S. Byan and J. Lentini and A. Madan and L. Pabon and M. Condict and J. Kimmel and S. Kleiman and C. Small and M. Storer
J. Kim and J. Park and S. Park
J. Lee and Y. Kim and G. M. Shipman and S. Oral and J. Kim
J. Lee and Y. Kim and G. M. Shipman and S. Oral and F. Wang and J. Kim
D. Shin and J. W. Lee
J. Jeong and Y. H. Song
C. Jinzhong and Y. Nianmin and C. Shaobin and H. Qilong
X. Liu and Y. Lu and J. Yu and Y. Lu
P. Aggarwal and G. Yasa and S. R. Sarangi
Y. Wang and L. Dong and Z. Ming
G. Panagiotakis and M. D. Flouris and A. Bilas
You. T. and Han. S. and Park. Y.M. and Lee. H. and Chung. E.
Y. Kang and Y. Kee and E. L. Miller and C. Park
Roumelis. George and Vassilakopoulos. Michael and Corral. Antonio and Fevgas. Athanasios and Manolopoulos. Yannis
C. Ji and L. Wang and Q. Li and C. Gao and L. Shi and C. Yang and C. J. Xue
K. Kwon and D. H. Kang and Y. I. Eom
Jin. Peiquan and Yang. Chengcheng and Jensen. Christian S. and Yang. Puyuan and Yue. Lihua
X. Liu and S. Jiang and Y. Wang and C. Xu
He. S. and Yang. Y. and Xu. X. and Xu. X.
Wu. Suzhen and Xi. Zaifa and Mao. Bo and Jiang. Hong
J. Boukhobza and P. Olivier and S. Rubini
