Id,Label,timeset,componentnumber,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
201,"Son,Yongseok",,89,4,4,0.465116,0.554167,0
376,Q.Li,,1,25,8,0.226883,0.277276,0.00572
611,Y.Nianmin,,175,3,1,1,1,0
1490,FangliangXu,,8,2,1,1,1,0
247,J.Shalf,,1,9,9,0.183926,0.219429,0.000364
881,XikeXie,,111,3,2,0.666667,0.75,0
312,F.Clermidy,,154,4,1,1,1,0
538,"Huang,J.",,51,4,2,0.75,0.833333,0
2041,"Kulkarni,Amit",,24,3,2,0.588235,0.65,0
2014,"Gibson,Garth",,2,6,6,0.330508,0.447863,0
1932,"Ruan,Li",,53,3,1,1,1,0
1524,"Tomić,S.",,218,1,1,1,1,0
246,W.Choi,,1,8,9,0.183571,0.217503,0
225,"Liu,Yi",,41,4,2,0.642857,0.722222,0
1446,WeiZhou,,5,7,2,0.652174,0.733333,0
804,ZeCheng,,191,3,1,1,1,0
253,R.Salkhordeh,,46,3,1,1,1,0
1425,"He,X.",,18,9,4,0.5,0.638889,0.000004
1671,"Mi,N.",,123,8,1,1,1,0
222,"Hui,Jiao",,41,4,2,0.642857,0.722222,0
1036,S.Cho,,68,5,2,0.666667,0.75,0
303,M.Paulitsch,,213,4,1,1,1,0
2045,"Jean-Baptise,Gregory",,33,5,5,0.354167,0.52451,0
128,"Carothers,Christopher",,211,1,1,1,1,0
165,"Jung,Sanghyuk",,210,2,1,1,1,0
1830,X.Zhou,,1,4,12,0.154596,0.184452,0
1652,"Kim,Y.J.",,86,3,3,0.5,0.590909,0
541,G.Dong,,1,3,11,0.167842,0.194324,0
807,PanayiotisBozanis,,203,1,1,1,1,0
378,S.Natarajan,,1,14,9,0.213071,0.2506,0
107,"Eisner,LouisAlex",,20,5,3,0.5,0.587719,0
649,D.Niu,,1,5,12,0.149123,0.172699,0
1343,"Ge,R.",,64,4,1,1,1,0
1370,S.Sasaki,,143,3,2,0.714286,0.8,0
1587,"Eslami,Hassan",,2,9,5,0.410526,0.533761,0
1663,K.Hwang,,1,4,11,0.168436,0.200251,0.000391
661,"Shin,D.",,86,2,2,0.55,0.590909,0
2113,"Kim,Yoonhee",,89,6,5,0.392157,0.5425,0
1449,JieXu,,5,7,2,0.652174,0.733333,0
925,"Yang,Dong-Lin",,148,2,1,1,1,0
1306,"Gedik,Buğra",,212,1,1,1,1,0
151,D.Tiwari,,1,5,11,0.179555,0.208351,0
402,C.Ma,,1,5,10,0.205349,0.245152,0
375,H.Liao,,1,14,9,0.213071,0.2506,0
463,J.Fortes,,95,4,2,0.7,0.785714,0
1172,J.Tang,,1,5,10,0.181679,0.206399,0
951,P.Markthub,,1,4,11,0.151592,0.18571,0
244,M.Jung,,1,15,9,0.184353,0.225731,0.002067
427,"Wasi-ur-Rahman,Md.",,170,6,1,1,1,0.000001
1194,P.Li,,1,6,9,0.197757,0.222404,0.000146
78,"Li,Shun-Fen",,17,6,1,1,1,0
1032,K.Dou,,68,5,2,0.666667,0.75,0
251,U.V.Catalyurek,,1,8,9,0.183571,0.217503,0
891,YassineHadjadj-Aoul,,22,5,2,0.727273,0.8125,0
1320,"Nilakant,Karthik",,192,3,1,1,1,0
1544,"Kim,Y.",,18,5,4,0.5,0.576389,0.000014
1371,K.Takahashi,,143,3,2,0.714286,0.8,0
1146,S.Hyun,,1,2,11,0.151641,0.184484,0.00001
1852,R.Thakur,,1,3,9,0.198416,0.221113,0.000092
682,"He,Wanhui",,37,4,2,0.611111,0.681818,0
1998,"Tacchella,Davide",,91,14,1,1,1,0
1618,R.Warren,,1,10,10,0.191472,0.226468,0.000232
1284,"Yin,Yanlong",,2,4,6,0.330508,0.430769,0
295,S.J.Byeon,,1,7,12,0.148472,0.188872,0
1528,"Gong,Weihua",,85,4,1,1,1,0
1025,"Sun,Xian-He",,2,19,5,0.458824,0.661966,0.000163
1059,"Kang,Woon-Hak",,219,2,1,1,1,0
2003,"Franceschini,MicheleM.",,91,14,1,1,1,0
622,L.Dong,,1,2,11,0.191858,0.229016,0
1118,A.K.Somani,,164,2,1,1,1,0
193,"Cacheiro,JavierLópez",,162,3,1,1,1,0
357,S.Shin,,1,24,10,0.177944,0.241639,0.000071
709,K.S.Venkataraman,,1,5,11,0.181402,0.215186,0.000113
2070,"Chai,Yunpeng",,201,2,2,0.583333,0.642857,0
2227,"Wu,Guiyong",,56,4,2,0.833333,0.9,0
407,J.Xing,,1,7,9,0.198747,0.231045,0.000162
1890,E.J.Kim,,120,2,1,1,1,0
956,KaixinHuang,,173,3,1,1,1,0
1381,"AlAssaf,MaenM.",,25,7,7,0.297101,0.439373,0.000001
1022,JinpengHuai,,61,5,1,1,1,0
1925,"Shi,Liang",,101,8,1,1,1,0.000004
486,Z.Xiang,,83,5,2,0.777778,0.857143,0
606,D.Shin,,54,2,1,1,1,0.000001
818,D.Liu,,1,9,11,0.204555,0.25488,0.00193
1865,S.Hu,,1,4,11,0.198251,0.241218,0.000322
2149,"Chen,Han",,24,7,2,0.769231,0.85,0
754,D.Park,,1,3,14,0.1051,0.119109,0
294,K.S.Lee,,1,7,12,0.148472,0.188872,0
2108,"Dong,Wenrui",,33,3,3,0.472222,0.539216,0.000021
2098,"Li,Chu",,76,3,2,0.555556,0.6,0
389,H.Lee,,1,3,11,0.173596,0.21859,0.002035
1424,"Xie,C.",,18,9,4,0.5,0.638889,0.000004
2087,"Garcia,Javier",,80,3,2,0.714286,0.8,0
655,J.Liao,,1,3,11,0.16,0.181669,0
1503,"Lee,J.",,18,8,5,0.4,0.547917,0.000057
1064,"TaharKechadi,M.",,142,3,1,1,1,0
969,S.Gao,,1,5,12,0.180235,0.212606,0
522,H.K.Stensland,,149,3,1,1,1,0
896,YuhuiDeng,,72,5,1,1,1,0.000001
310,N.Bliss,,31,6,1,1,1,0
168,X.Lu,,99,7,1,1,1,0.000003
1817,U.Shrawankar,,220,1,1,1,1,0
1159,"Ju,Lei",,184,2,1,1,1,0
301,O.Isfort,,213,4,1,1,1,0
589,S.Kleiman,,50,8,1,1,1,0
1193,L.Cheng,,1,6,9,0.197757,0.222404,0.000146
1376,X.Liang,,1,3,11,0.177347,0.202403,0.000208
1777,S.Pathak,,1,3,10,0.157773,0.17204,0
123,JiayangZheng,,5,4,2,0.576923,0.633333,0
106,"Mollov,TodorI.",,20,5,3,0.5,0.587719,0
1509,"Tseng,Chien-Kai",,214,2,1,1,1,0
1891,P.González-Férez,,128,1,2,0.545455,0.583333,0
2210,"Alghamdi,MohammedI.",,25,4,7,0.29078,0.402787,0
1664,"Yang,Z.",,123,8,1,1,1,0
184,"Wei,Yazhou",,201,5,2,0.777778,0.857143,0
256,MaisNijim,,21,2,1,1,1,0
271,"Evans,DavidThomas",,20,9,2,0.655172,0.736842,0
1595,"Chen,Yong",,2,16,4,0.52,0.653846,0.000297
1957,N.Podhorszki,,1,7,10,0.189566,0.221252,0.000507
1832,J.Han,,1,5,11,0.155403,0.193659,0.000014
1476,"Xiao,Y.",,132,6,1,1,1,0
1853,Y.Zhuang,,1,3,9,0.198416,0.221113,0.000092
1914,"Bhamini,Janki",,20,4,3,0.487179,0.561404,0
1601,W.Xumin,,159,3,1,1,1,0
169,D.K.D.K.Panda,,99,2,2,0.583333,0.642857,0
1184,M.Tanaka,,143,1,2,0.555556,0.6,0
170,J.Park,,1,26,11,0.162791,0.225247,0.001164
37,"Anwar,Ali",,190,2,1,1,1,0
166,"Song,YongHo",,210,2,1,1,1,0
